Interface admin : http://localhost:8765
   Ctrl+C pour arrêter.

  127.0.0.1 "GET / HTTP/1.1" 200 -
  127.0.0.1 "GET /api/roster HTTP/1.1" 200 -
  127.0.0.1 "GET /api/data HTTP/1.1" 200 -
  127.0.0.1 "GET /api/clubs HTTP/1.1" 200 -
  127.0.0.1 "GET /api/jokers HTTP/1.1" 200 -
  127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
  127.0.0.1 "GET /api/lineups/1 HTTP/1.1" 200 -
  127.0.0.1 "GET /api/corrections/1 HTTP/1.1" 200 -
  127.0.0.1 "GET /api/manual-stats/1 HTTP/1.1" 200 -
  127.0.0.1 "POST /api/lineups/1 HTTP/1.1" 200 -
  127.0.0.1 "POST /api/manual-stats/1 HTTP/1.1" 200 -
To https://github.com/romubonnin-mama/mal1-fantasy.git
   87b8e4c..433304b  main -> main
  127.0.0.1 "POST /api/push HTTP/1.1" 200 -
  127.0.0.1 "POST /api/manual-stats/1 HTTP/1.1" 200 -
  127.0.0.1 "POST /api/manual-stats/1 HTTP/1.1" 200 -
  127.0.0.1 "POST /api/manual-stats/1 HTTP/1.1" 200 -
  127.0.0.1 "POST /api/compute/1 HTTP/1.1" 200 -
  127.0.0.1 "GET /api/data HTTP/1.1" 200 -
